barcode	stain_status
00000140	stained
00000162	stained
00000185	stained
00000209	stained
00000231	stained
00000232	stained
00000237	stained
00000238	stained
00000246	stained
00000253	stained
00000287	stained
00000304	stained
00000327	stained
00000337	stained
00000346	stained
00000365	stained
00000398	stained
00000403	stained
00000572	stained
00000601	stained
00000602	stained
00000638	stained
00000652	stained
00000702	stained
00000755	stained
00000764	stained
00000766	stained
00000767	stained
00000775	stained
00000845	stained
00000851	stained
00000872	stained
00000902	stained
00000948	stained
00000954	stained
00000983	stained
00001066	stained
00001067	stained
00001279	stained
00001307	stained
00001314	stained
00001405	stained
00001496	stained
00001499	stained
00001502	stained
00001506	stained
00001514	stained
00001519	stained
00001520	stained
00001527	stained
00001545	stained
00001549	stained
00001556	stained
00001559	stained
00001560	stained
00001573	stained
00001596	stained
00001599	stained
00001610	stained
00001612	stained
00001613	stained
00001619	stained
00001632	stained
00001636	stained
00001639	stained
00001640	stained
00001644	stained
00001687	stained
00001702	stained
00001723	stained
00001783	stained
00001798	stained
00001801	stained
00001807	stained
00001823	stained
00001837	stained
00001845	stained
00001852	stained
00001853	stained
00001874	stained
00001876	stained
00001899	stained
00001931	stained
00001932	stained
00001942	stained
00001943	stained
00001946	stained
00001947	stained
00001950	stained
00001961	stained
00001983	stained
00002002	stained
00002006	stained
00002012	stained
00002018	stained
00002022	stained
00002026	stained
00002037	stained
00002040	stained
00002061	stained
00002072	stained
00002075	stained
00002078	stained
00002083	stained
00002092	stained
00002108	stained
00002138	stained
00002279	stained
00002298	stained
00002324	stained
00002557	stained
00002559	stained
00002565	stained
00002570	stained
00002571	stained
00002572	stained
00002574	stained
00002577	stained
00002601	stained
00002611	stained
00002616	stained
00002617	stained
00002648	stained
00002672	stained
00002677	stained
00002685	stained
00002686	stained
00002702	stained
00002884	stained
00002914	stained
00002969	stained
00002979	stained
00003013	stained
00003026	stained
00003027	stained
00003028	stained
00003030	stained
00003041	stained
00003149	stained
00003156	stained
00003256	stained
00003275	stained
00003279	stained
00003282	stained
00003297	stained
00003306	stained
00003383	stained
00003392	stained
00003411	stained
00003413	stained
00003430	stained
00003443	stained
00003469	stained
00003470	stained
00003471	stained
00003474	stained
00003476	stained
00003481	stained
00003483	stained
00003484	stained
00003486	stained
00003488	stained
00003495	stained
00003522	stained
00003530	stained
00003531	stained
00003534	stained
00003554	stained
00003562	stained
00003592	stained
00003603	stained
00003615	stained
00003647	stained
00003648	stained
00003651	stained
00003666	stained
00003676	stained
00003678	stained
00003683	stained
00003715	stained
00003743	stained
00003747	stained
00003750	stained
00003774	stained
00003781	stained
00003798	stained
00003799	stained
00003802	stained
00003813	stained
00003818	stained
00003830	stained
00003835	stained
00003836	stained
00003838	stained
00003862	stained
00003863	stained
00003889	stained
00003898	stained
00003899	stained
00003936	stained
00003940	stained
00003966	stained
00003968	stained
00003976	stained
00003979	stained
00003989	stained
00003990	stained
00003991	stained
00004011	stained
00004014	stained
00004015	stained
00004018	stained
00004025	stained
00004027	stained
00004041	stained
00004045	stained
00004055	stained
00004072	stained
00004083	stained
00004084	stained
00004094	stained
00004099	stained
00004106	stained
00004109	stained
00004110	stained
00004114	stained
00004144	stained
00004147	stained
00004148	stained
00004152	stained
00004157	stained
00004158	stained
00004159	stained
00004160	stained
00004163	stained
00004171	stained
00004186	stained
00004188	stained
00004200	stained
00004210	stained
00004211	stained
00004234	stained
00004239	stained
00004246	stained
00004249	stained
00004253	stained
00004339	stained
00004369	stained
00004378	stained
00004379	stained
00004393	stained
00004400	stained
00004445	stained
00004455	stained
00004468	stained
00004469	stained
00004478	stained
00004496	stained
00004524	stained
00004538	stained
00004556	stained
00004559	stained
00004585	stained
00004586	stained
00004589	stained
00004614	stained
00004661	stained
00004672	stained
00004675	stained
00004693	stained
00004705	stained
00004706	stained
00004712	stained
00004736	stained
00004742	stained
00004762	stained
00004832	stained
00004835	stained
00005255	stained
00005257	stained
00005333	stained
00005334	stained
00005412	stained
00005438	stained
00005462	stained
00005463	stained
00005487	stained
00005488	stained
00005708	stained
00006043	stained
00006477	stained
00006871	stained
00006926	stained
00007777	stained
00007807	stained
00007834	stained
00007836	stained
00007841	stained
00007849	stained
00007852	stained
00007881	stained
00007912	stained
00008070	stained
00008125	stained
00008126	stained
00008128	stained
00008132	stained
00008206	stained
00008210	stained
00008226	stained
00008227	stained
00008422	stained
00012003	stained
00012030	stained
00012039	stained
00012053	stained
00012081	stained
00012084	stained
00012087	stained
00012094	stained
00012095	stained
00012106	stained
00012107	stained
00012120	stained
00012121	stained
00012122	stained
00013762	stained
00015941	stained
00015942	stained
00017427	stained
00018042	stained
00019866	stained
00020656	stained
00021103	stained
00026229	stained
00026607	stained
00026640	stained
00026654	stained
00026661	stained
00026708	stained
00026709	stained
00026710	stained
00026711	stained
00026713	stained
00026714	stained
00026719	stained
00026811	stained
00026824	stained
00026922	stained
00026954	stained
00026966	stained
00026972	stained
00027187	stained
00027196	stained
00027207	stained
00027212	stained
00027216	stained
00027259	stained
00027260	stained
00027270	stained
00027278	stained
00027279	stained
00027292	stained
00027293	stained
00027308	stained
00027309	stained
00027335	stained
00027376	stained
00027381	stained
00027387	stained
00027501	stained
00027556	stained
00027572	stained
00027573	stained
00027576	stained
00027611	stained
00027617	stained
00027625	stained
00027666	stained
00027667	stained
00027727	stained
00027788	stained
00027811	stained
00027823	stained
00027843	stained
00027858	stained
00027922	stained
00027923	stained
00027972	stained
00028019	stained
00028071	stained
00028090	stained
00028193	stained
00028197	stained
00028216	stained
00028244	stained
00028258	stained
00028285	stained
00028326	stained
00028461	stained
00028462	stained
00030495	stained
00030496	stained
00030497	stained
00030498	stained
00030499	stained
00036508	stained
00036551	stained
00036555	stained
00036563	stained
00036571	stained
00036572	stained
00036573	stained
00036663	stained
00036675	stained
00036676	stained
00036698	stained
00036735	stained
00036740	stained
00036745	stained
00036773	stained
00036777	stained
00036788	stained
00036789	stained
00036790	stained
00036793	stained
00036798	stained
00036810	stained
00036813	stained
00036854	stained
00036858	stained
00036873	stained
00036874	stained
00036892	stained
00036899	stained
00036905	stained
00036967	stained
00037020	stained
00037022	stained
00037037	stained
00037092	stained
00037235	stained
00037298	stained
00037328	stained
00037434	stained
00048001	stained
00050386	stained
00052393	stained
00054336	stained
00054796	stained
00054797	stained
00054798	stained
00054803	stained
00055088	stained
00061206	stained
00064425	stained
00065332	stained
00065548	stained
00065558	stained
00065598	stained
00065704	stained
00065885	stained
00065991	stained
00066868	stained
00066884	stained
00067350	stained
00067360	stained
00067457	stained
00067458	stained
00067490	stained
00067506	stained
00067678	stained
00074900	stained
00075168	stained
00075612	stained
00075639	stained
00075640	stained
00075641	stained
00076958	stained
00079725	stained
00080266	stained
00080389	stained
00080538	stained
00080556	stained
00080595	stained
00080596	stained
00080627	stained
00080657	stained
00081011	stained
00085863	stained
00086668	stained
00086672	stained
00086674	stained
00086689	stained
00086695	stained
00086697	stained
00086701	stained
00086705	stained
00086713	stained
00086720	stained
00086721	stained
00086753	stained
00086784	stained
00086794	stained
00086802	stained
00086812	stained
00086820	stained
00086826	stained
00086830	stained
00086843	stained
00086847	stained
00086849	stained
00086856	stained
00086857	stained
00086865	stained
00086869	stained
00086874	stained
00086877	stained
00086894	stained
00086896	stained
00086905	stained
00086915	stained
00086925	stained
00086952	stained
00086981	stained
00086986	stained
00086992	stained
00087007	stained
00087012	stained
00087013	stained
00087017	stained
00087021	stained
00087022	stained
00087023	stained
00087027	stained
00087032	stained
00087035	stained
00087036	stained
00087043	stained
00087044	stained
00087096	stained
00087098	stained
00087101	stained
00087104	stained
00087110	stained
00087112	stained
00087130	stained
00087164	stained
00087196	stained
00087199	stained
00087207	stained
00087215	stained
00087227	stained
00087233	stained
00087253	stained
00087254	stained
00087260	stained
00087280	stained
00087293	stained
00087351	stained
00087476	stained
00087496	stained
00087506	stained
00087626	stained
00087627	stained
00087876	stained
00087997	stained
00088024	stained
00089113	stained
00089142	stained
00089188	stained
00089194	stained
00089286	stained
00089291	stained
00089297	stained
00089332	stained
00089335	stained
00089378	stained
00089483	stained
00089492	stained
00089494	stained
00089495	stained
00089519	stained
00089522	stained
00089526	stained
00089531	stained
00089532	stained
00089595	stained
00089709	stained
00089721	stained
00089729	stained
00089782	stained
00089801	stained
00089861	stained
00089865	stained
00090059	stained
00090060	stained
00090125	stained
00090200	stained
00090203	stained
00090208	stained
00090227	stained
00090248	stained
00090258	stained
00090290	stained
00090328	stained
00090380	stained
00090412	stained
00090436	stained
00090512	stained
00090517	stained
00090518	stained
00090528	stained
00090531	stained
00090535	stained
00090538	stained
00090540	stained
00090561	stained
00090633	stained
00090652	stained
00090664	stained
00091043	stained
00093315	stained
00093335	stained
00093392	stained
00093415	stained
00093417	stained
00093444	stained
00093445	stained
00093482	stained
00093516	stained
00093517	stained
00093536	stained
00093538	stained
00093539	stained
00093540	stained
00093542	stained
00093546	stained
00093550	stained
00093553	stained
00093573	stained
00093579	stained
00093580	stained
00093592	stained
00093594	stained
00093597	stained
