barcode	stain_status	id	accessURI	institutionCode	catalogNumber	recordedBy	year	month	day	verbatimEventDate	country	stateProvince	county	locality	identifiedBy	scientificName
00000140	stained	http://n2t.net/ark:/65665/3b487a6b2-3b6f-4b94-863e-481c4eac15e3	http://n2t.net/ark:/65665/m36e1bbdd7-8c33-4a87-ab66-6f47ea582d90	US	32671	H. H. Rusby	1886	5		-- May 1886	Bolivia	La Paz		Mapiri.		Inga myriocephala
00000162	stained	http://n2t.net/ark:/65665/344cc518e-410d-47d3-bd2b-c0d381289333	http://n2t.net/ark:/65665/m37df7ca9f-c121-4c3e-ad41-5d1cf88fd825	US	1337845	F. C. Lehmann				-- --- ----	Colombia			Forests in highlands of Popayan.		Inga popayanensis
00000185	stained	http://n2t.net/ark:/65665/3dcdf7935-e858-4580-b645-eef90ee8055f	http://n2t.net/ark:/65665/m3c809b3ca-2e52-48a2-a1b2-0b0518461cf5	US	41311	H. Ruiz López & J. A. Pavón				-- --- ----	Peru	San Martín	Mariscal Cáceres	Rio Huallaga, margen Derecha del; Balsa Probana; dtto. Tocache Nuevo		Inga ruiziana
00000231	stained	http://n2t.net/ark:/65665/3d1856a3b-d09a-4ad9-997c-3a9f8672f9dc	http://n2t.net/ark:/65665/m329973bc2-3529-4f95-b36c-d7d7503a77f9	US	62798	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	United States	Hawaii	Maui			Acacia koa
00000232	stained	http://n2t.net/ark:/65665/3652daf45-abaa-4f26-b481-071e0aa27c01	http://n2t.net/ark:/65665/m387dc9ab2-cba2-4ba6-9dc6-2be82b23568c	US	62797	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	United States	Hawaii	Maui			Acacia koa
00000237	stained	http://n2t.net/ark:/65665/3351780a1-292c-4058-8ecc-93c42532a854	http://n2t.net/ark:/65665/m3cd0bf9e8-1df1-4591-aee1-029e7b63c4a2	US	2318457	H. Bredo	1934	9		-- Sep 1934	Congo, Democratic Republic  of			Lake Albert.		Acacia lathouwersii
00000238	stained	http://n2t.net/ark:/65665/332877889-4e60-4917-97ae-b56d3358fbb3	http://n2t.net/ark:/65665/m3062c2016-a52b-4e34-9069-e61fd1029247	US	41089	J. G. Lemmon	1882	9		-- Sep 1882	United States	Arizona		Huachuca Mts., S. Ariz.		Acacia lemmonii
00000246	stained	http://n2t.net/ark:/65665/370831196-9e1c-4f8d-8940-ab0ae856a7cd	http://n2t.net/ark:/65665/m31aca5c84-0247-464c-8b33-a331aa851a96	US	48451	C. Wright				-- --- ----	Cuba					Acacia maschalocephala
00000253	stained	http://n2t.net/ark:/65665/330409ebe-2485-4541-ba5d-06c24e989c0e	http://n2t.net/ark:/65665/m38791266f-c314-44f7-bad8-2f91e1f90ed5	US	49877	E. Palmer	1885	8		-- Aug 1885 to -- Nov 1885	Mexico	Chihuahua		"South-western Chihuahua [protologue, ""Hacienda San Jose""]."	Boggan, J. K., (US), NMNH	Acacia millefolia
00000287	stained	http://n2t.net/ark:/65665/3ec9bc456-2e03-429f-ae2c-024904cebe0b	http://n2t.net/ark:/65665/m3bf9cf0d8-c6b8-4261-8b96-b0076132aa6d	US	48450	C. Wright	1865			-- --- 1865	Cuba					Pithecellobium calliandriflorum
